# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = bernoulli_model
# start_datetime = 2025-12-19 18:49:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = bernoulli.data.json
# init = 2 (Default)
# random
#   seed = 1058755528 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0-172-g8d78669
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.885972
# Diagonal elements of inverse mass matrix:
# 0.492229
-6.8582134,0.98156233,0.88597205,2,3,0,6.9048583,0.31149592
-6.7675661,0.99178392,0.88597205,2,3,0,6.9218392,0.27523881
-7.3747794,0.83163837,0.88597205,2,7,0,7.9298984,0.12994047
-6.7626297,0.97658866,0.88597205,2,3,0,7.7365777,0.27176022
-6.7552965,0.99627405,0.88597205,2,3,0,6.795372,0.23512822
-6.7490419,0.98895198,0.88597205,2,3,0,6.8352292,0.24438239
-6.7813839,0.99134239,0.88597205,1,3,0,6.8010031,0.28317571
-6.7482549,0.99953176,0.88597205,1,3,0,6.7821091,0.25270566
-6.7785707,0.74910388,0.88597205,2,3,0,8.7935106,0.21998321
-9.1804487,0.75175833,0.88597205,2,3,0,9.7229026,0.56343348
-7.2708809,1,0.88597205,2,7,0,8.8091946,0.13863354
-7.0749726,1,0.88597205,1,1,0,7.2540456,0.15900651
-6.8110987,0.96596241,0.88597205,1,3,0,7.4320295,0.29604487
-7.1821111,0.85364684,0.88597205,1,3,0,7.7337088,0.1470831
-7.3409348,0.97798647,0.88597205,1,1,0,7.3708266,0.13265025
-6.7802435,0.96856838,0.88597205,1,3,0,7.7609143,0.28258944
-7.0012901,0.9185449,0.88597205,1,3,0,7.2925347,0.16877056
-6.7951475,0.99880212,0.88597205,2,7,0,6.9608778,0.28961727
-7.0070759,0.97147115,0.88597205,2,7,0,7.0114801,0.1679437
-6.7495849,0.9556255,0.88597205,2,3,0,7.445197,0.2430546
-6.7483348,0.99993293,0.88597205,2,3,0,6.7501974,0.2468809
-6.7517452,0.98073814,0.88597205,2,3,0,6.8879668,0.26088892
-6.8485501,0.98085794,0.88597205,1,3,0,6.8612072,0.30862771
-6.8358284,0.97642583,0.88597205,2,3,0,7.0510305,0.30464795
-6.7751594,1,0.88597205,1,1,0,6.8214609,0.27984607
-6.7993967,0.98116258,0.88597205,1,3,0,6.902085,0.2114279
-6.7730598,0.98786335,0.88597205,2,7,0,6.8885455,0.27864186
